INGP INDIGENOUS STATUS,STATE,"PERSONS LIVING IN IMPROVISED DWELLINGS, TENTS, OR SLEEPING OUT",PERSONS IN SUPPORTED ACCOMMODATION FOR THE HOMELESS,PERSONS STAYING TEMPORARILY WITH OTHER HOUSEHOLDS,PERSONS LIVING IN BOARDING HOUSES,PERSONS IN OTHER TEMPORARY LODGINGS,PERSONS LIVING IN 'SEVERELY' CROWDED DWELLINGS,PERSONS LIVING IN OTHER CROWDED DWELLINGS,PERSONS IN OTHER IMPROVISED DWELLINGS,PERSONS WHO ARE MARGINALLY HOUSED IN CARAVAN PARKS,NOT APPLICABLE,TOTAL,CENSUS_YEAR
Non-Indigenous,New South Wales,703.0,2353.0,3582.0,6475.0,846.0,13825.0,28125.0,579.0,1961.0,7330874.0,7389320.0,2021
Non-Indigenous,Victoria,344.0,5084.0,2381.0,5512.0,1443.0,8869.0,18809.0,247.0,1578.0,6068427.0,6112684.0,2021
Non-Indigenous,Queensland,1069.0,2181.0,4442.0,2070.0,428.0,5213.0,10556.0,962.0,2867.0,4637998.0,4667771.0,2021
Non-Indigenous,South Australia,138.0,1190.0,1208.0,467.0,139.0,1883.0,3963.0,118.0,456.0,1652961.0,1662520.0,2021
Non-Indigenous,Western Australia,1175.0,665.0,1713.0,451.0,102.0,1356.0,3503.0,412.0,886.0,2428971.0,2439233.0,2021
Non-Indigenous,Tasmania,93.0,358.0,500.0,209.0,25.0,640.0,1328.0,75.0,213.0,494555.0,498002.0,2021
Non-Indigenous,Northern Territory,116.0,275.0,366.0,67.0,43.0,203.0,533.0,117.0,190.0,172163.0,174079.0,2021
Non-Indigenous,Australian Capital Territory,17.0,480.0,246.0,118.0,6.0,436.0,974.0,0.0,21.0,425681.0,427977.0,2021
Non-Indigenous,Other Territories,0.0,0.0,0.0,0.0,0.0,7.0,18.0,0.0,0.0,4342.0,4368.0,2021
Aboriginal,New South Wales,126.0,795.0,393.0,183.0,253.0,601.0,1501.0,54.0,233.0,262574.0,266723.0,2021
Aboriginal,Victoria,68.0,578.0,98.0,78.0,128.0,91.0,351.0,7.0,51.0,60269.0,61722.0,2021
Aboriginal,Queensland,495.0,819.0,406.0,168.0,48.0,1923.0,2779.0,92.0,239.0,186759.0,193726.0,2021
Aboriginal,South Australia,116.0,625.0,91.0,14.0,55.0,447.0,536.0,6.0,19.0,38664.0,40577.0,2021
Aboriginal,Western Australia,879.0,519.0,342.0,40.0,11.0,1522.0,1745.0,13.0,53.0,79993.0,85117.0,2021
Aboriginal,Tasmania,32.0,66.0,75.0,13.0,0.0,53.0,80.0,4.0,26.0,27307.0,27644.0,2021
Aboriginal,Northern Territory,531.0,884.0,284.0,0.0,3.0,9615.0,4464.0,31.0,9.0,42957.0,58772.0,2021
Aboriginal,Australian Capital Territory,0.0,91.0,23.0,3.0,0.0,3.0,34.0,0.0,0.0,8227.0,8387.0,2021
Aboriginal,Other Territories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,217.0,2021
Torres Strait Islander,New South Wales,0.0,8.0,9.0,9.0,3.0,22.0,17.0,0.0,3.0,5046.0,5119.0,2021
Torres Strait Islander,Victoria,3.0,14.0,0.0,11.0,0.0,3.0,18.0,0.0,3.0,2036.0,2086.0,2021
Torres Strait Islander,Queensland,25.0,99.0,21.0,17.0,0.0,262.0,412.0,0.0,25.0,20924.0,21787.0,2021
Torres Strait Islander,South Australia,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,976.0,986.0,2021
Torres Strait Islander,Western Australia,8.0,0.0,7.0,0.0,0.0,8.0,3.0,0.0,0.0,1604.0,1626.0,2021
