LTHP TYPE OF LONG-TERM HEALTH CONDITION,STATE,"PERSONS LIVING IN IMPROVISED DWELLINGS, TENTS, OR SLEEPING OUT",PERSONS IN SUPPORTED ACCOMMODATION FOR THE HOMELESS,PERSONS STAYING TEMPORARILY WITH OTHER HOUSEHOLDS,PERSONS LIVING IN BOARDING HOUSES,PERSONS IN OTHER TEMPORARY LODGINGS,PERSONS LIVING IN 'SEVERELY' CROWDED DWELLINGS,PERSONS LIVING IN OTHER CROWDED DWELLINGS,PERSONS IN OTHER IMPROVISED DWELLINGS,PERSONS WHO ARE MARGINALLY HOUSED IN CARAVAN PARKS,NOT APPLICABLE,TOTAL,CENSUS_YEAR
Arthritis,New South Wales,56.0,146.0,380.0,469.0,45.0,353.0,768.0,100.0,460.0,674106.0,676888.0,2021
Arthritis,Victoria,14.0,303.0,206.0,310.0,42.0,195.0,440.0,33.0,310.0,509981.0,511822.0,2021
Arthritis,Queensland,67.0,187.0,508.0,260.0,61.0,221.0,457.0,153.0,682.0,461441.0,464043.0,2021
Arthritis,South Australia,5.0,72.0,109.0,31.0,16.0,58.0,109.0,11.0,91.0,177820.0,178330.0,2021
Arthritis,Western Australia,18.0,73.0,144.0,20.0,4.0,49.0,106.0,49.0,198.0,203195.0,203871.0,2021
Arthritis,Tasmania,3.0,21.0,54.0,30.0,0.0,20.0,27.0,15.0,54.0,66844.0,67063.0,2021
Arthritis,Northern Territory,12.0,53.0,39.0,3.0,10.0,56.0,46.0,23.0,18.0,13104.0,13357.0,2021
Arthritis,Australian Capital Territory,0.0,23.0,26.0,9.0,0.0,6.0,23.0,0.0,4.0,34640.0,34727.0,2021
Arthritis,Other Territories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.0,294.0,2021
Asthma,New South Wales,39.0,376.0,418.0,441.0,56.0,679.0,1591.0,64.0,298.0,620609.0,624556.0,2021
Asthma,Victoria,3.0,781.0,274.0,401.0,73.0,401.0,1021.0,18.0,238.0,536745.0,539957.0,2021
Asthma,Queensland,46.0,379.0,504.0,239.0,50.0,459.0,984.0,86.0,426.0,437986.0,441157.0,2021
Asthma,South Australia,10.0,290.0,154.0,30.0,40.0,91.0,240.0,7.0,65.0,157766.0,158708.0,2021
Asthma,Western Australia,6.0,123.0,156.0,36.0,7.0,124.0,284.0,34.0,117.0,195024.0,195918.0,2021
Asthma,Tasmania,3.0,71.0,67.0,32.0,3.0,51.0,71.0,9.0,34.0,51532.0,51864.0,2021
Asthma,Northern Territory,22.0,81.0,41.0,4.0,9.0,295.0,146.0,9.0,10.0,14168.0,14796.0,2021
Asthma,Australian Capital Territory,0.0,55.0,33.0,12.0,0.0,12.0,34.0,0.0,0.0,40616.0,40762.0,2021
Asthma,Other Territories,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,300.0,303.0,2021
Cancer (including remission),New South Wales,17.0,27.0,121.0,152.0,14.0,92.0,210.0,37.0,140.0,226155.0,226966.0,2021
Cancer (including remission),Victoria,4.0,70.0,67.0,92.0,8.0,66.0,143.0,10.0,80.0,176408.0,176949.0,2021
Cancer (including remission),Queensland,20.0,61.0,144.0,75.0,11.0,69.0,114.0,45.0,183.0,161985.0,162706.0,2021
Cancer (including remission),South Australia,0.0,18.0,30.0,14.0,0.0,10.0,28.0,3.0,22.0,56537.0,56663.0,2021
Cancer (including remission),Western Australia,9.0,24.0,57.0,10.0,0.0,9.0,36.0,8.0,46.0,72964.0,73172.0,2021
Cancer (including remission),Tasmania,0.0,0.0,18.0,9.0,0.0,6.0,11.0,0.0,13.0,18715.0,18771.0,2021
Cancer (including remission),Northern Territory,3.0,26.0,21.0,0.0,9.0,22.0,19.0,3.0,3.0,4653.0,4755.0,2021
Cancer (including remission),Australian Capital Territory,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,12029.0,12048.0,2021
Cancer (including remission),Other Territories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,116.0,2021
Dementia (including Alzheimer's),New South Wales,0.0,5.0,12.0,26.0,4.0,43.0,73.0,0.0,20.0,62461.0,62639.0,2021
Dementia (including Alzheimer's),Victoria,0.0,22.0,6.0,15.0,0.0,34.0,54.0,3.0,4.0,45656.0,45799.0,2021
