STATE,MRERD MORTGAGE REPAYMENTS (MONTHLY) RANGES,NEGATIVE INCOME,NIL INCOME,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 OR MORE ($416,000 OR MORE)",PARTIAL INCOME STATED,ALL INCOMES NOT STATED,NOT APPLICABLE,TOTAL,CENSUS_YEAR
New South Wales,Nil repayments,562.0,1787.0,665.0,1073.0,975.0,2559.0,2059.0,3948.0,3751.0,4735.0,4974.0,3675.0,4104.0,8223.0,6035.0,4610.0,4108.0,2767.0,2890.0,3266.0,3241.0,714.0,7421.0,748.0,68.0,78966.0,2016
New South Wales,$1-$149,36.0,120.0,112.0,207.0,122.0,469.0,403.0,829.0,851.0,1193.0,1210.0,1086.0,1088.0,2255.0,1723.0,1279.0,1049.0,779.0,788.0,754.0,637.0,125.0,1660.0,85.0,0.0,18876.0,2016
New South Wales,$150-$299,38.0,145.0,91.0,286.0,326.0,959.0,670.0,1418.0,1225.0,1613.0,1458.0,1273.0,1196.0,2175.0,1666.0,1276.0,955.0,665.0,650.0,721.0,451.0,78.0,1559.0,115.0,0.0,21015.0,2016
New South Wales,$300-$449,63.0,269.0,237.0,606.0,576.0,1700.0,1375.0,2900.0,2704.0,3633.0,3461.0,2743.0,2671.0,4871.0,3402.0,2435.0,1899.0,1296.0,1058.0,1127.0,888.0,171.0,3475.0,217.0,15.0,43788.0,2016
New South Wales,$450-$599,47.0,180.0,147.0,346.0,448.0,1336.0,1227.0,2529.0,2618.0,3265.0,3245.0,2588.0,2368.0,4556.0,3192.0,2056.0,1741.0,1172.0,903.0,841.0,664.0,107.0,3419.0,188.0,9.0,39207.0,2016
New South Wales,$600-$799,81.0,291.0,228.0,649.0,700.0,1916.0,2227.0,4138.0,4722.0,5941.0,6161.0,5393.0,5077.0,8933.0,5632.0,3682.0,2663.0,1956.0,1491.0,1391.0,892.0,176.0,6049.0,330.0,41.0,70726.0,2016
New South Wales,$800-$999,111.0,488.0,342.0,831.0,921.0,2231.0,2826.0,4730.0,6402.0,9059.0,9550.0,8100.0,7801.0,13712.0,9275.0,6035.0,3891.0,2673.0,2149.0,1773.0,1364.0,264.0,8950.0,451.0,30.0,103955.0,2016
New South Wales,"$1,000-$1,199",93.0,582.0,354.0,918.0,737.0,1907.0,2968.0,5032.0,7295.0,11123.0,12115.0,10740.0,10714.0,19370.0,13304.0,8423.0,6235.0,4016.0,3330.0,3126.0,2377.0,473.0,11453.0,413.0,35.0,137149.0,2016
New South Wales,"$1,200-$1,399",176.0,583.0,367.0,782.0,874.0,1993.0,3175.0,5588.0,8415.0,13785.0,15684.0,14694.0,14351.0,26546.0,17745.0,10748.0,6777.0,4405.0,3434.0,3187.0,2177.0,266.0,14337.0,514.0,74.0,170691.0,2016
New South Wales,"$1,400-$1,599",104.0,529.0,292.0,687.0,544.0,1252.0,2549.0,4361.0,7027.0,11969.0,14504.0,14569.0,14857.0,28124.0,18454.0,11897.0,7874.0,4583.0,4024.0,3320.0,2196.0,327.0,13226.0,465.0,69.0,167801.0,2016
