Date,Category,Description1,Description2,Description3,Description4,Description5,Description6,Description7,Estimate,Value,added_datetime
2023-12-31,Priority Applications,Priority,Applications,Number,-,Actual,-,-,N,5072.0,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Number,-,Actual,-,-,N,5072.0,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,prior year,Actual,-,-,N,621.0,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,prior year,Actual,-,-,N,621.0,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,prior year,Percentage,-,-,N,13.951920916647945,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,prior year,Percentage,-,-,N,13.951920916647945,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,calendar year to date,Actual,-,-,N,621.0,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,calendar year to date,Actual,-,-,N,621.0,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,calendar year to date,Percentage,-,-,N,13.951920916647945,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,calendar year to date,Percentage,-,-,N,13.951920916647945,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,12 month rolling average,-,Actual,-,-,N,4791.153846153846,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,12 month rolling average,-,Actual,-,-,N,4791.153846153846,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,12 month rolling average,Actual,-,-,N,280.84615384615427,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,12 month rolling average,Actual,-,-,N,280.84615384615427,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,12 month rolling average,Percentage,-,-,N,5.8617644697760385,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,12 month rolling average,Percentage,-,-,N,5.8617644697760385,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,12 month rolling average,prior month change,Actual,-,-,Y,42.76923076923077,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,12 month rolling average,prior month change,Actual,-,-,Y,42.76923076923077,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,12 month rolling average,prior month change,Percentage,-,-,Y,0.8926707875090312,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,12 month rolling average,prior month change,Percentage,-,-,Y,0.8926707875090312,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,12 month rolling average,prior year change,Actual,-,-,N,626.9230769230769,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,12 month rolling average,prior year change,Actual,-,-,N,626.9230769230769,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,12 month rolling average,prior year change,Percentage,-,-,N,13.085012442803242,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,12 month rolling average,prior year change,Percentage,-,-,N,13.085012442803242,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,financial year to date,Actual,-,-,N,302.0,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,financial year to date,Actual,-,-,N,302.0,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,financial year to date,Percentage,-,-,N,6.331236897274634,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,financial year to date,Percentage,-,-,N,6.331236897274634,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,prior year,Actual,change from prior month,Actual,Y,57.0,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,prior year,Actual,change from prior month,Actual,Y,0.0,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,prior year,Percentage,change from prior month,Actual,Y,1.0663828768946892,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,prior year,Percentage,change from prior month,Actual,Y,0.0,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,calendar year to date,Actual,change from prior month,Actual,Y,131.0,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,calendar year to date,Actual,change from prior month,Actual,Y,0.0,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,calendar year to date,Percentage,change from prior month,Actual,Y,2.9431588407099536,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,calendar year to date,Percentage,change from prior month,Actual,Y,0.0,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,12 month rolling average,-,Actual,change from prior month,Actual,Y,93.0,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,12 month rolling average,-,Actual,change from prior month,Actual,Y,0.0,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,12 month rolling average,Actual,change from prior month,Actual,Y,38.0,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,12 month rolling average,Actual,change from prior month,Actual,Y,0.0,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,12 month rolling average,Percentage,change from prior month,Actual,Y,0.6927946616680982,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,12 month rolling average,Percentage,change from prior month,Actual,Y,0.0,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,12 month rolling average,prior month change,Actual,change from prior month,Actual,Y,-5.692307692307693,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,12 month rolling average,prior month change,Actual,change from prior month,Actual,Y,0.0,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,12 month rolling average,prior month change,Percentage,change from prior month,Actual,Y,-0.13883094803357143,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,12 month rolling average,prior month change,Percentage,change from prior month,Actual,Y,0.0,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,12 month rolling average,prior year change,Actual,change from prior month,Actual,Y,-16.76923076923083,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,12 month rolling average,prior year change,Actual,change from prior month,Actual,Y,0.0,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,12 month rolling average,prior year change,Percentage,change from prior month,Actual,Y,-0.6159502921499342,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,12 month rolling average,prior year change,Percentage,change from prior month,Actual,Y,0.0,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,financial year to date,Actual,change from prior month,Actual,Y,131.0,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,financial year to date,Actual,change from prior month,Actual,Y,0.0,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,financial year to date,Percentage,change from prior month,Actual,Y,2.746331236897275,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,financial year to date,Percentage,change from prior month,Actual,Y,0.0,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Number,-,Actual,change from prior month,Percentage,Y,2.651285164946367,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Number,-,Actual,change from prior month,Percentage,Y,0.0,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,prior year,Actual,change from prior month,Percentage,Y,10.106382978723403,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,prior year,Actual,change from prior month,Percentage,Y,0.0,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,prior year,Percentage,change from prior month,Percentage,Y,8.275811794624211,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,prior year,Percentage,change from prior month,Percentage,Y,0.0,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,calendar year to date,Actual,change from prior month,Percentage,Y,26.73469387755102,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,calendar year to date,Actual,change from prior month,Percentage,Y,0.0,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,calendar year to date,Percentage,change from prior month,Percentage,Y,26.73469387755103,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,calendar year to date,Percentage,change from prior month,Percentage,Y,0.0,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,12 month rolling average,-,Actual,change from prior month,Percentage,Y,1.9795009496365188,2024-02-07 09:10:59.380658
