MONTH,CLIENT GROUP,DATE,NSW,VIC,QLD,WA,SA,TAS,ACT,NT,NATIONAL
Apr18,Number of clients accommodated in short-term/emergency accommodation,2018-04-30,2495.0,3180.0,3893.0,1361.0,636.0,401.0,332.0,567.0,12848.0
Apr18,Number of clients financially assisted with payments for short term/emergency accommodation,2018-04-30,194.0,1394.0,162.0,61.0,79.0,84.0,23.0,14.0,2010.0
Apr18,Number of clients who are at risk of homelessness,2018-04-30,11117.0,15003.0,5369.0,3041.0,3408.0,905.0,752.0,1769.0,41278.0
Apr18,Number of clients who are homeless,2018-04-30,10250.0,13747.0,6217.0,2315.0,2666.0,1187.0,834.0,1060.0,38174.0
Apr18,Number of clients who have experienced family and domestic violence,2018-04-30,7775.0,13786.0,3245.0,2494.0,1871.0,469.0,538.0,1027.0,31155.0
Apr18,Number of clients with a current mental health issue,2018-04-30,7303.0,8856.0,2880.0,1461.0,1551.0,993.0,511.0,300.0,23814.0
Apr18,Number of clients with problematic drug or alcohol issues,2018-04-30,2160.0,2393.0,956.0,717.0,483.0,246.0,146.0,274.0,7370.0
Apr18,Number of indigenous clients,2018-04-30,6370.0,2992.0,3824.0,2213.0,1596.0,302.0,266.0,2460.0,19980.0
Apr18,Number of nights in short-term/emergency accommodation,2018-04-30,47797.0,42978.0,79195.0,17122.0,13159.0,6549.0,8722.0,5593.0,221115.0
Apr19,Number of clients accommodated in short-term/emergency accommodation,2019-04-30,2427.0,3263.0,3684.0,1699.0,543.0,426.0,307.0,541.0,12873.0
Apr19,Number of clients financially assisted with payments for short term/emergency accommodation,2019-04-30,212.0,1445.0,178.0,48.0,62.0,115.0,17.0,17.0,2094.0
Apr19,Number of clients who are at risk of homelessness,2019-04-30,12032.0,15819.0,5581.0,3552.0,3376.0,909.0,707.0,1637.0,43534.0
Apr19,Number of clients who are homeless,2019-04-30,10330.0,14234.0,6620.0,2606.0,2555.0,1448.0,850.0,1229.0,39778.0
Apr19,Number of clients who have experienced family and domestic violence,2019-04-30,7791.0,13861.0,3361.0,2841.0,1847.0,533.0,527.0,1017.0,31731.0
Apr19,Number of clients with a current mental health issue,2019-04-30,7639.0,9365.0,2996.0,1605.0,1633.0,1125.0,502.0,307.0,25134.0
Apr19,Number of clients with problematic drug or alcohol issues,2019-04-30,2247.0,2477.0,858.0,761.0,480.0,269.0,134.0,249.0,7466.0
Apr19,Number of indigenous clients,2019-04-30,6715.0,3221.0,4027.0,2664.0,1557.0,347.0,228.0,2599.0,21300.0
