Date,Category,Subcategory,Detail,Item,Newtenanciestime,Region,Value
31/12/2021,Total Waitlist,Applications,Singles 1 bedroom,Dwelling need,,WA,8936
31/12/2021,Total Waitlist,Applications,Singles 2 bedroom,Dwelling need,,WA,484
31/12/2021,Total Waitlist,Applications,Seniors 1 bedroom,Dwelling need,,WA,2875
31/12/2021,Total Waitlist,Applications,Seniors 2 bedroom,Dwelling need,,WA,247
31/12/2021,Total Waitlist,Applications,Family 2 bedroom,Dwelling need,,WA,2975
31/12/2021,Total Waitlist,Applications,Family 3 bedroom,Dwelling need,,WA,1951
31/12/2021,Total Waitlist,Applications,Family 4 bedroom,Dwelling need,,WA,787
31/12/2021,Total Waitlist,Applications,Family 5 bedroom,Dwelling need,,WA,173
31/12/2021,Total Waitlist,Applications,Family 6plus bedroom,Dwelling need,,WA,41
31/12/2021,Total Waitlist,Applications,TBD,Dwelling need,,WA,517
31/12/2021,Priority Waitlist,Applications,Singles 1 bedroom,Dwelling need,,WA,1808
31/12/2021,Priority Waitlist,Applications,Singles 2 bedroom,Dwelling need,,WA,151
31/12/2021,Priority Waitlist,Applications,Seniors 1 bedroom,Dwelling need,,WA,401
31/12/2021,Priority Waitlist,Applications,Seniors 2 bedroom,Dwelling need,,WA,78
31/12/2021,Priority Waitlist,Applications,Family 2 bedroom,Dwelling need,,WA,963
31/12/2021,Priority Waitlist,Applications,Family 3 bedroom,Dwelling need,,WA,641
31/12/2021,Priority Waitlist,Applications,Family 4 bedroom,Dwelling need,,WA,287
31/12/2021,Priority Waitlist,Applications,Family 5 bedroom,Dwelling need,,WA,52
31/12/2021,Priority Waitlist,Applications,Family 6plus bedroom,Dwelling need,,WA,6
31/12/2021,Priority Waitlist,Applications,TBD,Dwelling need,,WA,64
31/12/2022,Total waitlist waiting time,Average wait last 12 months,,Waiting time (WA total only -extra data point),,WA,124
31/12/2022,Priority waitlist waiting time,Average wait last 12 months,,Waiting time (WA total only -extra data point),,WA,70
31/05/2023,Total waitlist,Applications,,Region need,,North Metro,5834
31/05/2023,Total waitlist,Applications,,Region need,,South Metro,3946
31/05/2023,Total waitlist,Applications,,Region need,,East Metro,3517
31/05/2023,Total waitlist,Applications,,Region need,,Great Southern,585
31/05/2023,Total waitlist,Applications,,Region need,,Southwest,1283
31/05/2023,Total waitlist,Applications,,Region need,,Goldfields,574
31/05/2023,Total waitlist,Applications,,Region need,,Midwest/Gascoyne,1021
31/05/2023,Total waitlist,Applications,,Region need,,Pilbara,654
31/05/2023,Total waitlist,Applications,,Region need,,West Kimberley,897
