"Table_Number","Year","Measure","Age","Indigenous_Status","Remoteness","Special_Need","Year_Dollars","Description1","Description2","Description3","Description4","Description5","Uncertainty","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Aust"
"GA.1","2021-22","Recurrent expenditure","All ages","All people","All areas","","2021-22 dollars","Australian Government real expenditure","NHHA funding","","","","","Derived from Australian Treasury Final Budget Outcome; ABS Australian National Accounts: National Income Expenditure and Product","$m","490.3","411.0","335.6","178.5","114.6","36.6","28.7","20.8","1616.2"
"GA.1","2021-22","Recurrent expenditure","All ages","All people","Remote","","2021-22 dollars","Australian Government real expenditure","National Partnership payments","Remote housing","","","","Derived from Australian Treasury Final Budget Outcome; ABS Australian National Accounts: National Income Expenditure and Product","$m","0","0","0","0","0","0","0","85.1","85.1"
"GA.1","2021-22","Recurrent expenditure","All ages","All people","All areas","","2021-22 dollars","Australian Government real expenditure","National Partnership payments","Social impact investment","","","","Derived from Australian Treasury Final Budget Outcome; ABS Australian National Accounts: National Income Expenditure and Product","$m","0","0","0","0","0.7","0","0","0","0.7"
"GA.1","2021-22","Recurrent expenditure","All ages","All people","All areas","","2021-22 dollars","Australian Government real expenditure","Total NHHA related expenditure","Total","","","","Derived from Australian Treasury Final Budget Outcome; ABS Australian National Accounts: National Income Expenditure and Product","$m","490.3","411.0","335.6","178.5","115.3","36.6","28.7","105.9","1702.0"
"GA.1","2020-21","Recurrent expenditure","All ages","All people","All areas","","2021-22 dollars","Australian Government real expenditure","NHHA funding","","","","","Derived from Australian Treasury Final Budget Outcome; ABS Australian National Accounts: National Income Expenditure and Product","$m","500.4","420.6","335.1","175.0","113.8","35.3","27.8","20.8","1628.7"
"GA.1","2020-21","Recurrent expenditure","All ages","All people","Remote","","2021-22 dollars","Australian Government real expenditure","National Partnership payments","Remote housing","","","","Derived from Australian Treasury Final Budget Outcome; ABS Australian National Accounts: National Income Expenditure and Product","$m","0","0","102.1","0","0","0","0","24.0","126.1"
"GA.1","2020-21","Recurrent expenditure","All ages","All people","All areas","","2021-22 dollars","Australian Government real expenditure","National Partnership payments","Social impact investment","","","","Derived from Australian Treasury Final Budget Outcome; ABS Australian National Accounts: National Income Expenditure and Product","$m","0","0","0","0","0.5","0","0","0","0.5"
"GA.1","2020-21","Recurrent expenditure","All ages","All people","All areas","","2021-22 dollars","Australian Government real expenditure","Total NHHA related expenditure","Total","","","","Derived from Australian Treasury Final Budget Outcome; ABS Australian National Accounts: National Income Expenditure and Product","$m","500.4","420.6","437.3","175.0","114.3","35.3","27.8","44.8","1755.4"
"GA.1","2019-20","Recurrent expenditure","All ages","All people","All areas","","2021-22 dollars","Australian Government real expenditure","NHHA funding","","","","","Derived from Australian Treasury Final Budget Outcome; ABS Australian National Accounts: National Income Expenditure and Product","$m","499.2","419.1","331.4","172.6","113.0","35.0","27.4","20.6","1618.3"
"GA.1","2019-20","Recurrent expenditure","All ages","All people","Remote","","2021-22 dollars","Australian Government real expenditure","National Partnership payments","Remote housing","","","","Derived from Australian Treasury Final Budget Outcome; ABS Australian National Accounts: National Income Expenditure and Product","$m","0","0","0","0","0","0","0","85.6","85.6"
"GA.1","2019-20","Recurrent expenditure","All ages","All people","All areas","","2021-22 dollars","Australian Government real expenditure","Total NHHA related expenditure","Total","","","","Derived from Australian Treasury Final Budget Outcome; ABS Australian National Accounts: National Income Expenditure and Product","$m","499.2","419.1","331.4","172.6","113.0","35.0","27.4","106.2","1703.9"
"GA.1","2018-19","Recurrent expenditure","All ages","All people","All areas","","2021-22 dollars","Australian Government real expenditure","NHHA funding","","","","","Derived from Australian Treasury Final Budget Outcome; ABS Australian National Accounts: National Income Expenditure and Product","$m","501.1","415.6","330.5","171.9","113.0","34.9","27.3","20.7","1614.9"
